slice,n,prevalence,random_auprc,const_pos_f1,prior_only_auprc,lift_needed_auprc_floor
fold_0,1068,0.16666666666666666,0.16666666666666666,0.2857142857142857,0.19671565993009293,1.08
fold_1,1069,0.2806361085126286,0.2806361085126286,0.4382761139517896,0.3411907532677173,0.6414000000000001
fold_2,1069,0.17586529466791395,0.17586529466791395,0.29912490055688146,0.2329001977505557,1.0235106382978723
fold_3,1069,0.17305893358278765,0.17305893358278765,0.29505582137161085,0.26023049993509695,1.040108108108108
locked_test,1782,0.1307519640852974,0.1307519640852974,0.2312655086848635,0.1547254901841885,1.3766523605150216
