slice,bin_left,bin_right,count
fold_0,-0.1,-0.095,5
fold_0,-0.095,-0.09,1
fold_0,-0.09,-0.08499999999999999,13
fold_0,-0.08499999999999999,-0.07999999999999999,9
fold_0,-0.07999999999999999,-0.07499999999999998,14
fold_0,-0.07499999999999998,-0.06999999999999998,11
fold_0,-0.06999999999999998,-0.06499999999999997,29
fold_0,-0.06499999999999997,-0.05999999999999997,3
fold_0,-0.05999999999999997,-0.054999999999999966,26
fold_0,-0.054999999999999966,-0.04999999999999996,14
fold_0,-0.04999999999999996,-0.04499999999999996,5
fold_0,-0.04499999999999996,-0.03999999999999995,16
fold_0,-0.03999999999999995,-0.03499999999999995,9
fold_0,-0.03499999999999995,-0.029999999999999943,11
fold_0,-0.029999999999999943,-0.02499999999999994,34
fold_0,-0.02499999999999994,-0.019999999999999934,47
fold_0,-0.019999999999999934,-0.01499999999999993,23
fold_0,-0.01499999999999993,-0.009999999999999926,34
fold_0,-0.009999999999999926,-0.004999999999999921,46
fold_0,-0.004999999999999921,8.326672684688674e-17,33
fold_0,8.326672684688674e-17,0.005000000000000088,49
fold_0,0.005000000000000088,0.010000000000000092,43
fold_0,0.010000000000000092,0.015000000000000097,68
fold_0,0.015000000000000097,0.0200000000000001,66
fold_0,0.0200000000000001,0.025000000000000105,29
fold_0,0.025000000000000105,0.03000000000000011,31
fold_0,0.03000000000000011,0.035000000000000114,29
fold_0,0.035000000000000114,0.04000000000000012,42
fold_0,0.04000000000000012,0.04500000000000012,52
fold_0,0.04500000000000012,0.05000000000000013,24
fold_0,0.05000000000000013,0.05500000000000013,73
fold_0,0.05500000000000013,0.06000000000000014,15
fold_0,0.06000000000000014,0.06500000000000014,36
fold_0,0.06500000000000014,0.07000000000000015,22
fold_0,0.07000000000000015,0.07500000000000015,6
fold_0,0.07500000000000015,0.08000000000000015,2
fold_0,0.08000000000000015,0.08500000000000016,1
fold_0,0.08500000000000016,0.09000000000000016,10
fold_0,0.09000000000000016,0.09500000000000017,10
fold_0,0.09500000000000017,0.10000000000000017,9
fold_1,-0.1,-0.095,3
fold_1,-0.095,-0.09,4
fold_1,-0.09,-0.08499999999999999,7
fold_1,-0.08499999999999999,-0.07999999999999999,5
fold_1,-0.07999999999999999,-0.07499999999999998,9
fold_1,-0.07499999999999998,-0.06999999999999998,10
fold_1,-0.06999999999999998,-0.06499999999999997,51
fold_1,-0.06499999999999997,-0.05999999999999997,21
fold_1,-0.05999999999999997,-0.054999999999999966,6
fold_1,-0.054999999999999966,-0.04999999999999996,13
fold_1,-0.04999999999999996,-0.04499999999999996,33
